"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2002/01/01","00:00","7.046","5.737","4.75","2.706","2.724","0.698","-0.48","-2.009","0"
"2002/02/01","00:00","7.22","5.481","4.72","2.663","2.681","0.642","-0.27","-1.658","0"
"2002/03/01","00:00","6.275","5.327","4.766","2.594","2.607","0.449","-0.26","-1.392","0"
"2002/04/01","00:00","6.577","5.232","4.651","2.561","2.576","0.501","-0.326","-1.536","0"
"2002/05/01","00:00","6.761","5.37","4.605","2.607","2.64","0.675","-0.411","-1.641","0"
"2002/06/01","00:00","6.853","5.645","4.773","2.814","2.845","0.918","-0.237","-1.467","0"
"2002/07/01","00:00","6.997","5.836","4.94","3.031","3.047","1.154","0.107","-1.123","0"
"2002/08/01","00:00","7.089","5.77","4.953","3.008","3.021","1.085","0.242","-1.31","0"
"2002/09/01","00:00","7.224","5.908","5.33","3.237","3.262","1.193","0.429","-0.933","0"
"2002/10/01","00:00","6.909","5.655","5.15","3.027","3.05","0.951","0.12","-0.778","0"
"2002/11/01","00:00","7.329","5.941","5.242","3.159","3.196","1.151","0.127","-1.264","0"
"2002/12/01","00:00","7.506","6.075","5.101","3.057","3.075","1.049","-0.152","-1.599","0"
"2003/01/01","00:00","7.23","5.934","4.904","2.873","2.888","0.872","-0.381","-1.733","0"
"2003/02/01","00:00","7.007","5.852","5.032","3.04","3.063","1.095","0.111","-1.317","0"
"2003/03/01","00:00","6.42","5.209","4.694","2.545","2.566","0.439","-0.296","-1.3","0"
"2003/04/01","00:00","6.81","5.206","4.773","2.62","2.643","0.514","-0.198","-1.313","0"
"2003/05/01","00:00","7.164","5.445","4.71","2.666","2.696","0.682","-0.319","-1.828","0"
"2003/06/01","00:00","7.256","5.77","4.809","2.883","2.906","1.003","-0.185","-1.812","0"
"2003/07/01","00:00","7.43","6.059","5.075","3.122","3.131","1.187","0.025","-1.53","0"
"2003/08/01","00:00","7.289","6.023","5.281","3.224","3.249","1.216","0.291","-1.143","0"
"2003/09/01","00:00","6.905","5.885","5.337","3.201","3.211","1.085","0.38","-0.591","0"
"2003/10/01","00:00","7.414","6.013","5.478","3.375","3.39","1.302","0.429","-0.903","0"
"2003/11/01","00:00","7.699","5.809","5.134","3.017","3.036","0.937","-0.073","-1.625","0"
"2003/12/01","00:00","7.88","5.891","4.96","2.991","3.024","1.088","-0.086","-1.841","0"
"2004/01/01","00:00","7.479","5.878","4.874","2.965","2.978","1.082","-0.073","-1.992","0"
"2004/02/01","00:00","6.804","5.577","4.809","2.758","2.77","0.731","-0.204","-1.786","0"
"2004/03/01","00:00","6.495","5.521","4.963","2.886","2.898","0.832","0.009","-1.1","0"
"2004/04/01","00:00","6.482","5.317","4.832","2.696","2.719","0.606","-0.234","-0.772","0"
"2004/05/01","00:00","7.273","5.649","4.927","2.896","2.916","0.905","-0.103","-1.385","0"
"2004/06/01","00:00","7.417","5.951","4.963","3.014","3.029","1.095","-0.112","-1.828","0"
"2004/07/01","00:00","7.604","6.069","5.038","3.024","3.036","1.033","-0.224","-1.96","0"
"2004/08/01","00:00","7.522","6.006","5.173","3.09","3.1","1.026","-0.004","-1.707","0"
